Wavelength,Standard Illuminant A,Standard Illuminant D65,Illuminant C,Illuminant D50,Illuminant D55,Illuminant D75,F2,F7,F11
300,0.930483,0.0341,0,0.019,0.024,0.043,0,0,0
305,1.12821,1.6643,0,1.035,1.048,2.588,0,0,0
310,1.35769,3.2945,0,2.051,2.072,5.133,0,0,0
315,1.62219,11.7652,0,4.914,6.648,17.47,0,0,0
320,1.92508,20.236,0.01,7.778,11.224,29.808,0,0,0
325,2.2698,28.6447,0.2,11.263,15.936,42.369,0,0,0
330,2.65981,37.0535,0.4,14.748,20.647,54.93,0,0,0
335,3.09861,38.5011,1.55,16.348,22.266,56.095,0,0,0
340,3.58968,39.9488,2.7,17.948,23.885,57.259,0,0,0
345,4.13648,42.4302,4.85,19.479,25.851,60,0,0,0
350,4.74238,44.9117,7,21.01,27.817,62.74,0,0,0
355,5.4107,45.775,9.95,22.476,29.219,62.861,0,0,0
360,6.14462,46.6383,12.9,23.942,30.621,62.982,0,0,0
365,6.9472,49.3637,17.2,25.451,32.464,66.647,0,0,0
370,7.82135,52.0891,21.4,26.961,34.308,70.312,0,0,0
375,8.7698,51.0323,27.5,25.724,33.446,68.507,0,0,0
380,9.7951,49.9755,33,24.488,32.584,66.703,1.18,2.56,0.91
385,10.8996,52.3118,39.92,27.179,35.335,68.333,1.48,3.18,0.63
390,12.0853,54.6482,47.4,29.871,38.087,69.963,1.84,3.84,0.46
395,13.3543,68.7015,55.17,39.589,49.518,85.946,2.15,4.53,0.37
400,14.708,82.7549,63.3,49.308,60.949,101.929,3.44,6.15,1.29
405,16.148,87.1204,71.81,52.91,64.751,106.911,15.69,19.37,12.68
410,17.6753,91.486,80.6,56.513,68.554,111.894,3.85,7.37,1.59
415,19.2907,92.4589,89.53,58.273,70.065,112.346,3.74,7.05,1.79
420,20.995,93.4318,98.1,60.034,71.577,112.798,4.19,7.71,2.46
425,22.7883,90.057,105.8,58.926,69.746,107.945,4.62,8.41,3.33
430,24.6709,86.6823,112.4,57.818,67.914,103.092,5.06,9.15,4.49
435,26.6425,95.7736,117.75,66.321,76.76,112.145,34.98,44.14,33.94
440,28.7027,104.865,121.5,74.825,85.605,121.198,11.81,17.52,12.13
445,30.8508,110.936,123.45,81.036,91.799,127.104,6.27,11.35,6.95
450,33.0859,117.008,124,87.247,97.993,133.01,6.63,12,7.19
455,35.4068,117.41,123.6,88.93,99.228,132.682,6.93,12.58,7.12
460,37.8121,117.812,123.1,90.612,100.463,132.355,7.19,13.08,6.72
465,40.3002,116.336,123.3,90.99,100.188,129.838,7.4,13.45,6.13
470,42.8693,114.861,123.8,91.368,99.913,127.322,7.54,13.71,5.46
475,45.5174,115.392,124.09,93.238,101.326,127.061,7.62,13.88,4.79
480,48.2423,115.923,123.9,95.109,102.739,126.8,7.65,13.95,5.66
485,51.0418,112.367,122.92,93.536,100.409,122.291,7.62,13.93,14.29
490,53.9132,108.811,120.7,91.963,98.078,117.783,7.62,13.82,14.96
495,56.8539,109.082,116.9,93.843,99.379,117.186,7.45,13.64,8.97
500,59.8611,109.354,112.1,95.724,100.68,116.589,7.28,13.43,4.72
505,62.932,108.578,106.98,96.169,100.688,115.146,7.15,13.25,2.33
510,66.0635,107.802,102.3,96.613,100.695,113.702,7.05,13.08,1.47
515,69.2525,106.296,98.81,96.871,100.341,111.181,7.04,12.93,1.1
520,72.4959,104.79,96.9,97.129,99.987,108.659,7.16,12.78,0.89
525,75.7903,106.239,96.78,99.614,102.098,109.552,7.47,12.6,0.83
530,79.1326,107.689,98,102.099,104.21,110.445,8.04,12.44,1.18
535,82.5193,106.047,99.94,101.427,103.156,108.367,8.88,12.33,4.9
540,85.947,104.405,102.1,100.755,102.102,106.289,10.01,12.26,39.59
545,89.4124,104.225,103.95,101.536,102.535,105.596,24.88,29.52,72.84
550,92.912,104.046,105.2,102.317,102.968,104.904,16.64,17.05,32.61
555,96.4423,102.023,105.67,101.159,101.484,102.452,14.59,12.44,7.52
560,100,100,105.3,100,100,100,16.16,12.58,2.83
565,103.582,98.1671,104.11,98.868,98.608,97.808,17.56,12.72,1.96
570,107.184,96.3342,102.3,97.735,97.216,95.616,18.62,12.83,1.67
575,110.803,96.0611,100.15,98.327,97.482,94.914,21.47,15.46,4.43
580,114.436,95.788,97.8,98.918,97.749,94.213,22.79,16.75,11.28
585,118.08,92.2368,95.43,96.208,94.59,90.605,19.29,12.83,14.76
590,121.731,88.6856,93.2,93.499,91.432,86.997,18.66,12.67,12.73
595,125.386,89.3459,91.22,95.593,92.926,87.112,17.73,12.45,9.74
600,129.043,90.0062,89.7,97.688,94.419,87.227,16.54,12.19,7.33
605,132.697,89.8026,88.83,98.478,94.78,86.684,15.21,11.89,9.72
610,136.346,89.5991,88.4,99.269,95.14,86.14,13.8,11.6,55.27
615,139.988,88.6489,88.19,99.155,94.68,84.861,12.36,11.35,42.58
620,143.618,87.6987,88.1,99.042,94.22,83.581,10.95,11.12,13.18
625,147.235,85.4936,88.06,97.382,92.334,81.164,9.65,10.95,13.16
630,150.836,83.2886,88,95.722,90.448,78.747,8.4,10.76,12.26
635,154.418,83.4939,87.86,97.29,91.389,78.587,7.32,10.42,5.11
640,157.979,83.6992,87.8,98.857,92.33,78.428,6.31,10.11,2.07
645,161.516,81.863,87.99,97.262,90.592,76.614,5.43,10.04,2.34
650,165.028,80.0268,88.2,95.667,88.854,74.801,4.68,10.02,3.58
655,168.51,80.1207,88.2,96.929,89.586,74.562,4.02,10.11,3.01
660,171.963,80.2146,87.9,98.19,90.317,74.324,3.45,9.87,2.48
665,175.383,81.2462,87.22,100.597,92.133,74.873,2.96,8.65,2.14
670,178.769,82.2778,86.3,103.003,93.95,75.422,2.55,7.27,1.54
675,182.118,80.281,85.3,101.068,91.953,73.499,2.19,6.44,1.33
680,185.429,78.2842,84,99.133,89.956,71.576,1.89,5.83,1.46
685,188.701,74.0027,82.21,93.257,84.817,67.714,1.64,5.41,1.94
690,191.931,69.7213,80.2,87.381,79.677,63.852,1.53,5.04,2
695,195.118,70.6652,78.24,89.492,81.258,64.464,1.27,4.57,1.2
700,198.261,71.6091,76.3,91.604,82.84,65.076,1.1,4.12,1.35
705,201.359,72.979,74.36,92.246,83.842,66.573,0.99,3.77,4.1
710,204.409,74.349,72.4,92.889,84.844,68.07,0.88,3.46,5.58
715,207.411,67.9765,70.4,84.872,77.539,62.256,0.76,3.08,2.51
720,210.365,61.604,68.3,76.854,70.235,56.443,0.68,2.73,0.57
725,213.268,65.7448,66.3,81.683,74.768,60.343,0.61,2.47,0.27
730,216.12,69.8856,64.4,86.511,79.301,64.242,0.56,2.25,0.23
735,218.92,72.4863,62.8,89.546,82.147,66.697,0.54,2.06,0.21
740,221.667,75.087,61.5,92.58,84.993,69.151,0.51,1.9,0.24
745,224.361,69.3398,60.2,85.405,78.437,63.89,0.47,1.75,0.24
750,227,63.5927,59.2,78.23,71.88,58.629,0.47,1.62,0.2
755,229.585,55.0054,58.5,67.961,62.337,50.623,0.43,1.54,0.24
760,232.115,46.4182,58.1,57.692,52.793,42.617,0.46,1.45,0.32
765,234.589,56.6118,58,70.307,64.36,51.985,0.47,1.32,0.26
770,237.008,66.8054,58.2,82.923,75.927,61.352,0.4,1.17,0.16
775,239.37,65.0941,58.5,80.599,73.872,59.838,0.33,0.99,0.12
780,241.675,63.3828,59.1,78.274,71.818,58.324,0.27,0.81,0.09
